"汉语","にほんご","한국어","English","Français","Deutsch","Italiano","Español","Português","Nederlands","Русский язык","Tiếng Việt","ภาษาไทย","Kiswahili","हिन्दी","Türkçe","العربية","ελληνικά","Latīna","संस्कृतम्","Esperanto"
"少年","しょうねん/少年","소년","Juvenile","adolescent","Jugendlicher","adolescente","adolescente","adolescente","jongere","юноша","thiếu niên","วัยรุ่น","kijana","किशोर","genç","مراهق","έφηβος","adulescens","किशोरः","adolesko"
"少女","しょうじょ/少女","소녀","Girl","fille","Mädchen","ragazza","chica","menina","meisje","девочка","con gái","เด็กผู้หญิง","msichana","लड़की","kız","فتاة","κορίτσι","puella","बालिका","knabino"
"青少年","せいしょうねん/青少年","청소년","Adolescent","adolescent","Jugendlicher","adolescente","adolescente","adolescente","jongere","подросток","thanh thiếu niên","วัยรุ่น","kijana","किशोर","ergen","مراهق","έφηβος","adulescens","किशोरः","adolesko"
"成年","せいねん/成年","성년","Adulthood","âge adulte","Erwachsenenalter","adultità","adultez","idade adulta","volwassenheid","взрослость","tuổi trưởng thành","วัยผู้ใหญ่","utu uzima","वयस्कता","yetişkinlik","بلوغ","ενηλικίωση","adultus","प्रौढता","plenkreskeco"
"青年","せいねん/青年","청년","Youth","jeunesse","Jugend","gioventù","juventud","juventude","jeugd","молодёжь","thanh niên","วัยหนุ่มสาว","ujana","युवा","gençlik","شباب","νεότητα","iuventus","यौवनम्","juneco"
"青壮年","せいそうねん/青壮年","청장년","Young adult","jeune adulte","junger Erwachsener","giovane adulto","adulto joven","adulto jovem","jongvolwassene","молодой взрослый","thanh niên trưởng thành","วัยหนุ่มสาวตอนต้น","kijana mtu mzima","युवा वयस्क","genç yetişkin","شاب بالغ","νεαρός ενήλικας","iuvenis adultus","युवप्रौढः","juna plenkreskulo"
"壮年","そうねん/壮年","장년","Prime of life","fleur de l'âge","Blüte des Lebens","fiore degli anni","plenitud de la vida","plenitude da vida","bloei van het leven","расцвет лет","tuổi tráng niên","วัยฉกรรจ์","umri wa utu uzima","प्रौढ़ावस्था","olgunluk çağı","عنفوان العمر","ακμή της ζωής","flos aetatis","प्रौढावस्था","plena aĝo"
"中年","ちゅうねん/中年","중년","Middle age","âge moyen","mittleres Alter","mezza età","mediana edad","meia-idade","middelbare leeftijd","средний возраст","trung niên","วัยกลางคน","umri wa kati","मध्य आयु","orta yaş","منتصف العمر","μέση ηλικία","media aetas","मध्यवयः","meza aĝo"
"更年","こうねん/更年","갱년","Climacteric","climactère","Klimakterium","climaterio","climaterio","climatério","climacterium","климактерий","thời kỳ mãn dục","วัยหมดระดู","kipindi cha mabadiliko ya homoni","क्लाइमेक्टेरिक","klimakteriyum","سن اليأس","κλιμακτήριος","climacterium","क्लाइमेक्टेरिक","klimaktero"
"晚年","ばんねん/晚年","만년","Late life","fin de vie","Lebensabend","tarda età","vejez","velhice","late levensfase","поздний возраст","tuổi già","วัยชรา","umri wa uzee","वृद्धावस्था","yaşlılık","أواخر العمر","ύστερη ζωή","senectus","वृद्धावस्था","maljunaĝo"
"老年","ろうねん/老年","노년","Old age","vieillesse","Alter","vecchiaia","vejez","velhice","ouderdom","старость","tuổi già","วัยชรา","uzee","वृद्धावस्था","yaşlılık","شيخوخة","γηρατειά","senectus","वृद्धावस्था","maljunaĝo"
"怀孕","にんしん/妊娠","임신","Pregnancy","grossesse","Schwangerschaft","gravidanza","embarazo","gravidez","zwangerschap","беременность","thai kỳ","การตั้งครรภ์","ujauzito","गर्भावस्था","hamilelik","حمل","εγκυμοσύνη","graviditas","गर्भावस्था","gravedeco"
"出生","しゅっしょう/出生","출생","Birth","naissance","Geburt","nascita","nacimiento","nascimento","geboorte","рождение","sự sinh ra","การเกิด","kuzaliwa","जन्म","doğum","ولادة","γέννηση","nativitas","जन्म","naskiĝo"
